track,track_id,artist,album,release_date,total_tracks,award
Green Light,6ie2Bw3xLj2JcGowOlcMhb,Lorde,Melodrama,2017-06-16,11,1
Contigo Quiero Amores,6TwvPvIWttNbJQP1YMGbMm,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,0
Hace Mucho Tiempo,6nQCni9g6jDYKXaViEuDyS,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,1
Wasteland,3pO37BXsjMC2wApALxGbuB,10 Years,The Autumn Effect,2005-01-01,13,0
Más Que Ayer,37vqCDZ6g5pZ5gqDS90MDP,Arcangel,Más Que Ayer,2017-02-17,1,0
Bored To Death,44TuSOP6xIAEeJmZsN3nXO,blink-182,California,2016-07-01,16,0
Me Prefieres A Mi - Remix,1A1lRN0ZXOS7hE4u5iqZ1y,Various Artists,La Fórmula,2012-08-20,21,1
Alguien Robo,0pQoNBSZeRFuhLVH8gCVDT,Sebastian Yatra,MANTRA,2018-05-18,16,2
Sola,42aklaU3YXqCPFv1mzcCf6,Arcangel,"Sentimiento, Elegancia y Maldad",2013-11-19,18,0
First Day Out,3muBQDekYAg7jm6hDu6R0Z,Tee Grizzley,My Moment,2017-04-07,13,1
50 Sombras de Austin,7hWlUt8L0rNx1Q8RZnUVQz,Arcangel,Los Favoritos,2015-12-11,18,1
Molly (feat. Brendon Urie of Panic at the Disco),0NBiC3zLXoBQXBjsbnbwJq,Lil Dicky,Professional Rapper,2015-07-31,20,0
Skateboard P (feat. Big Sean),07pJdL0L9XDGW0HBj0rIS2,MadeinTYO,Skateboard P (feat. Big Sean),2017-02-15,1,1
I Want (feat. 2 Chainz),3zzf7EXJdQ6igozFIefQkX,MadeinTYO,I Want (feat. 2 Chainz),2016-07-15,1,0
White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,Post Malone,Stoney (Deluxe),2016-12-09,18,5
No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,Cheat Codes,No Promises (feat. Demi Lovato),2017-03-31,1,1
Now and Later,08WPvDEsHvTFuB9w8tC2OS,Sage The Gemini,Morse Code,2017-07-21,15,0
Mi Gente,4ipnJyDU3Lq15qBAYNqlqK,J Balvin,Mi Gente,2017-06-30,1,2
How Many Drinks?,5ctk3VJoHoURSiwkCJn2bf,Miguel,Kaleidoscope Dream,2012-09-28,11,0
Sure Thing,0JXXNGljqupsJaZsgSbMZV,Miguel,All I Want Is You,2010-11-26,13,1
Coffee (F***ing),5OFKWrKbS8iTIGxgjyHDzW,Miguel,Coffee (F***ing),2015-05-01,1,0
Do You...,4THgRPmLvhNmM9Lzj8qrvH,Miguel,Kaleidoscope Dream,2012-09-28,11,0
Simple Things (Remix),4z8c9qkpiYghn6DCQ6yA0u,Miguel,Simple Things (Remix),2015-10-16,1,0
Quickie,4isk4UYRcmslphcTq61xUg,Miguel,All I Want Is You,2010-11-26,13,0
The Sound Of Silence,1Cj2vqUwlJVG27gJrun92y,Disturbed,Immortalized,2015-08-21,13,3
Snapback,7I5fYc4qKJddht8Ozhqqdx,Old Dominion,Meat and Candy,2015-11-06,11,1
Still Got Time (feat. PARTYNEXTDOOR),2CvHNLEGTbPb2mOlelmVLN,Various Artists,The RCA-List (Vol. 6),2017-05-26,25,0
With You,1j3H54xdahpAkNI0q6S89q,Chris Brown,Exclusive,2007-11-01,16,3
Superhuman (feat. Keri Hilson),0LywUpaQjSnjDrk2avhREy,Chris Brown,Exclusive - The Forever Edition,2007,20,0
Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,Chris Brown,Grass Ain't Greener,2016-05-05,1,1
Gimme That,7BWXAPR8TxPR3ppVUqvotE,Chris Brown,Chris Brown,2005-11-29,16,1
Run It!,6SPD3JwwRejBhCDiQAQ4he,Chris Brown,Chris Brown,2005-11-29,16,2
Yo (Excuse Me Miss),1zpu1PZ8ecmcX525Z3X8cl,Chris Brown,Chris Brown,2005-11-29,16,1
Say Goodbye,75KdMdPqZGO3FGNtpByM1p,Chris Brown,Chris Brown,2005-11-29,16,1
Sweet Love,07G7QChlEGW0d4goT0AvXU,Chris Brown,Fortune (Deluxe Version),2012-06-29,19,0
Take You Down,3XJpQ65m90QFmogv8MH1pG,Chris Brown,Exclusive,2007-11-01,16,0
Zero,3wrP2GVxWH8VpHPOsKhYgz,Chris Brown,Royalty (Deluxe Version),2015-12-18,18,0
This X-Mas,2aCOTUTsSh9018q7nTsdjm,Chris Brown,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,2017-12-13,57,0
Wall To Wall,3QFmH99wPoNdU2JHwKpajc,Chris Brown,Exclusive,2007-11-01,16,1
Privacy,2Vf2Pflg5rTWSvSCK4qq4A,Chris Brown,Privacy,2017-03-24,1,1
Forever,7tAXHZdp9UpcYrHn7MZqfo,Chris Brown,Forever,2007-11-02,1,4
Liquor,5u7o3wXWJI7AN1b9KIf3m8,Chris Brown,Royalty (Deluxe Version),2015-12-18,18,1
Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
502 Come Up,5Y87Aek2DGI5s4WNAh8zKR,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
For However Long,5g30WoqK1Dv5Bnwpusp2vk,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
Overtime,2gq9iG0maBxkuZI7yfGJuv,Bryson Tiller,T R A P S O U L,2015-10-02,14,1
Kick The Dust Up,5g15o2Sm55Hn9ShK5yEXgp,Luke Bryan,Kill The Lights (Deluxe),2015-08-07,16,2
Rambo,5RqsqQU0erB0OgLbwem6pU,Bryson Tiller,T R A P S O U L,2015-10-02,14,0
Do I,7A5CReD6yWe0rrkJym34QI,Luke Bryan,Doin' My Thing,2009-01-01,11,2
Every Little Thing,2wxfu24GQpEZQrjDJm5Ac1,Carly Pearce,Every Little Thing,2017-10-13,13,0
Cumbia Medley - Live,1ukUDShP9cx9uk9YC7FIBW,Selena,Movie Soundtrack,1997-01-01,12,0
Into You,2meEiZKWkiN28gITzFwQo5,Ariana Grande,Dangerous Woman,2016-05-20,15,3
Big Amount,5tkDCf3xKRZjT5RbCb3sZB,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,0
7 Years,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,Lukas Graham,2016-04-01,11,5
Issues,7vu0JkJh0ldukEYbTVcqd0,Julia Michaels,Nervous System,2017-07-28,7,3
Swang,6mapJIPnQ23RTAevUoE0DL,Rae Sremmurd,SremmLife 2 (Deluxe),2016-08-12,14,3
Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,Queen,A Night At The Opera (Deluxe Remastered Version),1975-11-21,18,6
Lil Bit,7bFElqzAlHXnnINRBXRQbK,K CAMP,Only Way Is Up (Deluxe),2014-09-04,16,0
4 AM,1nX9KhK3Fff27SnrIor2Yb,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,1
Fine China,2OVRPlR4BsnwPY7OiIfCQn,Chris Brown,X (Deluxe Version),2014-09-12,21,1
Mama Said,5ArQzSBevAdXTxRY6Ulhbq,Lukas Graham,Lukas Graham,2016-04-01,11,1
Feeling Myself,5fyIGoaaKelzdyW8ELhYJZ,Nicki Minaj,The Pinkprint (Deluxe),2014-12-15,19,2
Comfortable,2BqQQXuBOuhaWeUP7okEx0,K CAMP,Only Way Is Up (Deluxe),2014-09-04,16,1
Invincible,6g0lA3tckAh7LlkifNvN87,Machine Gun Kelly,Lace Up (Deluxe),2012-01-01,16,0
1Hunnid,4immekPm8Har57BB9DcDSj,K CAMP,Only Way Is Up (Deluxe),2014-09-04,16,0
"Main Chick (feat. Chris Brown, French Montana, Yo Gotti, Tyga & Lil Bibby) - Remix",0m7ZSgJGoOrKR7SQFSjJPw,Kid Ink,"Main Chick (feat. Chris Brown, French Montana, Yo Gotti, Tyga & Lil Bibby) [Remix]",2014-07-08,1,1
Loyal,7kqcudBGM74MXVoYMaoWkC,Chris Brown,X (Deluxe Version),2014-09-12,21,3
Praying,79NlESqzFSW0hdBWgls4FX,Kesha,Praying,2017-07-06,1,1
I Know Somebody,6pyshZbArprWRBXLbYVPO9,LOCASH,The Fighters,2016-06-17,11,0
Ultimate,6R0GRYk2vs2XuBVemYK5YZ,Denzel Curry,Ultimate,2015-01-01,1,0
Ocean Drive,0b6wdul3A5sQNpIOv03OxP,Duke Dumont,Ocean Drive,2015-07-31,1,0
Everything Is Alright,6xyiHZgrmXw7sMyYXbXjPV,Motion City Soundtrack,Commit This To Memory,2005-06-07,12,0
I Got U,69gQgkobVW8bWjoCjBYQUd,Duke Dumont,EP1,2014-01-01,4,0
Control,3SKzTIl9mW0DadTys9SFo3,Halsey,BADLANDS (Deluxe),2015-08-28,16,0
Feel Invincible,0i8JFpqe9cKwnrcvoNgl1L,Skillet,Unleashed,2016-08-05,12,0
Thinking Out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,x (Deluxe Edition),2014-06-21,16,10
Gasoline,2IO7yf562c1zLzpanal1DT,Halsey,BADLANDS (Deluxe),2015-08-28,16,1
Beauty and the Beast - 『美女と野獣』より,5mRNFh0zp9qY1kDpecN9ot,Various Artists,La Bella y La Bestia (Banda Sonora Original en Español),2017-03-10,19,0
"Can You Feel The Love Tonight - From ""The Lion King"" / Soundtrack Version",5E8yddtSG3sH4hw2SfwcgW,Various Artists,The Lion King,1994-01-01,12,0
Shining (feat. Beyoncé & Jay-Z),7Fa5UNizycSms5jP3SQD3F,DJ Khaled,Grateful,2017-06-22,23,1
In The Night,25KybV9BOUlvcnv7nN3Pyo,The Weeknd,Beauty Behind The Madness,2015-08-28,14,2
Bang Bang,0puf9yIluy9W0vpMEUoAnN,Jessie J,Sweet Talker (Deluxe Version),2014-10-14,15,6
Toothbrush,7ciLq0Cip0yxiz6KANrOUq,DNCE,DNCE,2016-11-18,14,1
Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,DNCE,DNCE,2016-11-18,14,4
Deja Vu,0H8XeaJunhvpBdBFIYi6Sh,Post Malone,Stoney (Deluxe),2016-12-09,18,1
Dangerous Woman,7l94dyN2hX9c6wWcZQuOGJ,Ariana Grande,Dangerous Woman,2016-05-20,15,3
Scholarships,0B5OTb36fzLayn6XQHg5A1,Drake,What A Time To Be Alive,2015-09-20,11,1
Better When I'm Dancin',5k5fWendNngd89O8JKoE8L,Meghan Trainor,Better When I'm Dancin',2015-10-14,1,1
Fade Away,4QRWA5UqYU1st9aO0UfxOj,Logic,The Incredible True Story,2015-11-13,18,0
Black SpiderMan,7BKUWh5sdtdS17crohRe4L,Logic,Everybody,2017-05-05,13,0
Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,Angus & Julia Stone,Down The Way,2010-03-30,13,0
No Shopping,0Di26AbdtizzHkFstPyt7A,French Montana,No Shopping,2016-07-17,1,1
Draco,4GkkxswcdEt1tkSyiRzgnC,Future,FUTURE,2017-06-30,20,1
Turn Up the Music,0UlHiqi7seV02XNHLMtfGK,Chris Brown,Fortune (Deluxe Version),2012-06-29,19,1
Hard To Love,6E9V9TRlVOLjenGjHemzEH,Lee Brice,Hard 2 Love,2012-04-24,13,2
Drinking Class,4QAXLB2Hkx3n7LbOFxD34h,Lee Brice,I Don't Dance (Deluxe Edition),2014-09-09,16,1
Warriors,1lgN0A2Vki2FTON5PYq42m,Imagine Dragons,Smoke + Mirrors (Deluxe),2015-10-30,21,1
Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M,Coldplay,A Head Full Of Dreams,2015-12-04,11,2
Everyday We Lit (feat. PnB Rock),4PzovBqgnSHKd8opsP7IVM,YFN Lucci,Long Live Nut,2017-03-03,9,0
Slide,6gpcs5eMhJwax4mIfKDYQk,Calvin Harris,Slide,2017-02-24,1,2
Mama,47OVNnZJzIkrsEiZ4n187p,Jonas Blue,Mama,2017-05-05,1,0
We Don't Believe What's On TV,22OqansuvEMQu9W0EfiGTI,Twenty One Pilots,Blurryface,2015-05-15,14,0
Bon appétit,4rHmKlFRiFzabiVO6e9w2e,Katy Perry,Witness (Deluxe),2017-06-09,17,0
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,1,0
Rise,1CwNogTShsnsn1C8UhRmYX,Katy Perry,Rise,2016-07-15,1,1
Ella Lo Que Quiere Es Salsa,6l9iRzgakAc5U82eVbt8ow,Víctor Manuelle,Busco Un Pueblo (Deluxe Edition),2012-01-23,15,1
Me Llamaré Tuyo,5JIjwY5YyMV4Ur7PvUeLfR,Víctor Manuelle,Me Llamaré Tuyo Reloaded,2012,17,0
Si Tú Me Besas,5981zpjMYeKGoEQ6K9794L,Víctor Manuelle,Busco Un Pueblo (Deluxe Edition),2012-01-23,15,1
Que Suenen los Tambores,2QOA0E6cuORpCD6gfKCoRk,Víctor Manuelle,Que Suenen los Tambores,2015-04-21,13,1
The Pretender,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,"Echoes, Silence, Patience & Grace",2007-09-25,12,2
Learn to Fly,5OQsiBsky2k2kDKy2bX2eT,Foo Fighters,There Is Nothing Left To Lose,1999-11-02,11,1
Times Like These,4xanWVQIzdCf51mg8cd1cQ,Foo Fighters,Greatest Hits,2009-11-03,16,1
My Type,2Iq6HhIquO7JKr0KfTNLzU,Saint Motel,My Type EP,2014-08-16,4,0
Good Drank,39pS70eeDvyCAF3t8NAlVV,2 Chainz,Pretty Girls Like Trap Music,2017-06-16,16,1
Best of You,5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,In Your Honor,2005-06-14,20,2
Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,The Colour And The Shape (Expanded Edition),1997-05-20,14,2
Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,A Seat at the Table,2016-09-30,21,0
Might Not,5e9aFSdnkQUrm5y8Dhw0qN,Belly,Up For Days,2015-11-20,10,1
Que Va,6J1R5wtPXiHiwiPstOSI56,Alex Sensation,Que Va,2017-08-04,1,1
Alone,12mGwph2YzDIlChtq3EdXP,Marshmello,Alone,2016-05-13,1,1
Back To Sleep,6dlpABcXrQKRU9G00i6Zba,Chris Brown,Royalty (Deluxe Version),2015-12-18,18,1
Beautiful People,4bxI9ChxEjVVqtFZmWRrR4,Chris Brown,F.A.M.E.,2011-03-22,13,1
Strip,2i8hWheuwDUwyPrZynCLEF,Chris Brown,Fortune (Deluxe Version),2012-06-29,19,1
Deuces,3QkXEz9TxApuk1JpDmeWnS,Chris Brown,Deuces featuring Tyga & Kevin McCall,2010-06-25,2,2
Look At Me Now,7EKTo6rVJ3XSS7QTd6ep2j,Chris Brown,Look At Me Now,2011-02-01,1,5
Yeah 3x,5PypFTXJ4Ij2nMvxKRjjv2,Chris Brown,F.A.M.E.,2011-03-22,13,2
She Ain't You,4QczAMpo49owCaNZgtoIvv,Chris Brown,F.A.M.E. (Deluxe Version),2011-04-04,16,1
It Ain't My Fault,08wJ1B9yu9sPeoRa5fbpr3,Brothers Osborne,Pawn Shop,2016-01-15,11,0
The Heart Of Dixie,5FgLLtrDU4Ex2ezB9anpH5,Danielle Bradbery,Danielle Bradbery,2013-01-01,11,0
Stay The Night - Featuring Hayley Williams Of Paramore,2QtJA4gbwe1AcanB2p21aP,Zedd,Clarity (Deluxe),2012,14,2
Perfect Storm,14UE0L5fL5TL0ohEiAv56X,Brad Paisley,Moonshine in the Trunk,2014-08-22,15,0
Clarity,60wwxj6Dd9NJlirf84wr2c,Zedd,Clarity,2012-01-01,10,3
Think of You (Duet with Cassadee Pope) - Story Behind the Song,1MwhjvmxOhPTgs4BuHFP8t,Chris Young,I'm Comin' Over - Stories Behind the Songs,2015-11-13,11,1
Vice,4Qtw0HNKSbIRT5sWUnbRXc,Miranda Lambert,The Weight of These Wings,2016-11-18,24,1
Save It for a Rainy Day,6wfTb2he5ANMQSFnlamnyi,Kenny Chesney,The Big Revival,2014-09-22,11,0
Fall In Love,5imUTBF35uIoABlV9g9da2,Phantogram,Voices,2014-02-18,11,0
Fresh Eyes,7gg8MoGsKe1dRnSvxVpP00,Andy Grammer,The Good Parts,2017-12-01,13,1
Way Down We Go,0y1QJc3SJVPKJ1OvFmFqe6,Kaleo,A/B,2016-06-10,10,1
Versace On The Floor,0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars,24K Magic,2016-11-17,9,1
Haters - Remix,1XuH3RXp7sCFPNof6xvFlm,J Alvarez,Haters (Remix),2017-02-17,1,1
Chunky,0mBKv9DkYfQHjdMcw2jdyI,Bruno Mars,24K Magic,2016-11-17,9,0
My Girl,3izNaTiYdotdPL0Bs76JqO,Dylan Scott,Dylan Scott (Deluxe Edition),2017-08-04,16,1
Quedate Conmigo (Remix) [feat. Wisin & Zion],1yT5DQiQ7iyUr5mgdePh3n,Jory Boy,Matando La Liga,2015-09-25,16,1
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",5q2JbCNi4FcnglgPfxcV65,Anuel Aa,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",2016-12-02,1,1
Detras De Ti (Remix) [feat. Ozuna],74eN3ZNL7krJw1BIcjA5pc,Jory Boy,Otra Liga,2016-12-02,7,1
Dices (Remix) [feat. Arcangel & Wisin],7M3KyYaVUCSsCalhShI8yH,De La Ghetto,Dices (Remix) [feat. Arcangel & Wisin],2015-10-23,1,1
Pacify Her,360Wr96ywrCQq4kTAJ8Pq6,Melanie Martinez,Cry Baby (Deluxe),2015-08-14,16,0
Hasta el Amanecer,5Fim1gaXBgsiFfsQAfQSDS,Nicky Jam,Fénix,2017-01-20,26,22
El Amante,3umS4y3uQDkqekNjVpiRUs,Nicky Jam,Fénix,2017-01-20,26,13
El Perdón,7qCAVkHWZkF44OzOUKf8Cr,Nicky Jam,Fénix,2017-01-20,26,27
Alarm,0OwX5aROoW1Iip8FV51Efg,Anne-Marie,Alarm,2016-05-20,1,0
Cheap Thrills (feat. Sean Paul),4qv7W9Uhl9R7Y8q2tnV4ri,Various Artists,"NOW That's What I Call Music, Vol. 59",2016-08-05,22,4
Pumpin Blood,7ti4qMC7xYQeh1uRzj5XuM,NONONO,We Are Only What We Feel,2014,10,0
Down (feat. Gucci Mane),2VC3ChEWNVjbLNHv2kk2rk,Various Artists,EPIC AF,2017-06-02,14,0
Play It Again,03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,Crash My Party,2013-01-01,13,4
As She's Walking Away (feat. Alan Jackson),1jxR2ZtJo0O3Zq993R4MV7,Zac Brown Band,Greatest Hits So Far...,2014-11-07,14,1
Sleep Without You,6zkHymyoD3tIqV7RwCAYUw,Brett Young,Brett Young,2017-02-10,12,1
Crash My Party,6GBUsjHfZuweYf5lQEz6mP,Luke Bryan,Crash My Party,2013-01-01,13,4
Goodbye In Her Eyes,3yM53DMMIioxVy7Pha1hD0,Zac Brown Band,Uncaged,2012-07-06,11,1
Take It All Back 2.0,2w7O4XCRoIJrwF1NqKL9TM,Judah & the Lion,Folk Hop N' Roll (Deluxe),2017-03-10,16,0
Country Girl (Shake It For Me),0yD66650JxhqKbW76C2qCo,Luke Bryan,Tailgates & Tanlines,2011-01-01,13,5
All My Friends Say,539dFCMA8lfEElDPgGpcIB,Luke Bryan,I'll Stay Me,2007-01-01,11,1
Highway 20 Ride,1ruMZWNVpNd7uhl6cSvNm1,Zac Brown Band,Greatest Hits So Far...,2014-11-07,14,1
The Ballad Of Mona Lisa,5rLi8B8qgk6qThwRnKHW2P,Panic! At The Disco,Vices & Virtues,2011-03-18,10,1
Colder Weather,1M2l9ReoabUnvl6Y8jLUe7,Zac Brown Band,You Get What You Give (Deluxe),2010-09-20,16,2
Home Alone Tonight,0RE8WWlaCQM6M4XHUK3u7b,Luke Bryan,Kill The Lights (Deluxe),2015-08-07,16,1
Toes,5kjyiH6but1t2UDXq15aeS,Zac Brown Band,The Foundation,2008-11-17,12,3
Jump Out The Window,1jQsKN68yE94tMYml0wHMd,Big Sean,I Decided.,2017-02-03,14,0
Chicken Fried,4dGJf1SER1T6ooX46vwzRB,Zac Brown Band,The Foundation,2008-11-17,12,5
Whatever It Is,4o8STNAL91xc7EvuvqSKk1,Zac Brown Band,The Foundation,2008-11-17,12,2
Keep Me In Mind,7zNM46fo01dCBidY4yGNTZ,Zac Brown Band,You Get What You Give (Deluxe),2010-09-20,16,1
Girls/Girls/Boys,2wEjPgOCEczmjlvq60LyQi,Panic! At The Disco,"Too Weird To Live, Too Rare To Die!",2013-10-04,10,0
Kiss Tomorrow Goodbye,4ZF2WDTBVFihfTkxfme8JE,Luke Bryan,Tailgates & Tanlines,2011-01-01,13,1
Free,4bWlAEbGHhPKQNjhTstN2p,Zac Brown Band,The Foundation,2008-11-17,12,1
Knee Deep (feat. Jimmy Buffett),1yEwEiTpsaPhQi9lb5EVV4,Zac Brown Band,You Get What You Give (Deluxe),2010-09-20,16,3
Drunk On You,3b7CDTKB0SRTmQ6ytYi5vZ,Luke Bryan,Tailgates & Tanlines,2011-01-01,13,4
Boomerang,79l5JbcB7MVcjmYlvgq9KQ,JoJo Siwa,Boomerang,2016-05-06,1,1
OOOUUU,0D21XvHcVsIvJM6FcGY2BT,Young M.A,OOOUUU,2016-05-20,1,3
We Believe,1dtzjTkNecIRAL4X3u4CtL,Newsboys,Restart,2013-01-01,22,0
Bangarang (feat. Sirah),6VRhkROS2SZHGlp0pxndbJ,Skrillex,Bangarang EP,2011-12-27,8,3
Sober Saturday Night (feat. Vince Gill),081t95JRuDUrQYSS3h8iKk,Chris Young,I'm Comin' Over,2015-11-13,11,0
I Met a Girl,4WtkYdCG4n80h08Ep5SmDI,William Michael Morgan,Vinyl,2016-09-30,11,0
Malibu,2habSXqcJGExM6JJyskY7O,Miley Cyrus,Malibu,2017-05-11,1,1
Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,Young the Giant,Young the Giant (Special Edition),2011,15,1
My Body,1KDYN3odJHnj9pqGHN3FVs,Young the Giant,Young the Giant (Special Edition),2011,15,1
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,Wiz Khalifa,See You Again (feat. Charlie Puth),2015,1,9
Ay Mami (feat. Bryant Myers),6ql2L3pp9EuVEruS2BfzNp,"Tito ""El Bambino""",Ay Mami (feat. Bryant Myers),2016-10-31,1,0
We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,Nine Track Mind,2016-01-29,12,3
Better Man,0jMikeoKkkSOby4ofddqYs,Little Big Town,Better Man,2016-10-20,1,1
Alexander Hamilton - Instrumental,4VOYMFiopoL6aY4X9XrMVH,Original Broadway Cast of Hamilton,The Hamilton Instrumentals,2017-06-30,46,0
Dat $tick,4bdJHQp90ymjEIkkYhcENB,Rich Brian,Dat $tick,2016-03-11,1,0
No Money,0gb1J5UrTpzaU1s3nupgCd,Galantis,No Money,2016-04-01,1,0
Tell Me How You Like It,6vZDTZAipjbn4GwhKfJqac,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,2013-01-01,17,0
Lane Boy,2P61EK6DMGyVyssLWS4fKy,Twenty One Pilots,Blurryface,2015-05-15,14,1
Temperature,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,The Trinity,2005-09-26,18,3
Round Here,5T6DM9qjjngWnukcw0svkX,Florida Georgia Line,Here's To The Good Times,2012-01-01,11,0
There He Go,5lLuArl5DPSd0pYVl9KOWD,Kodak Black,There He Go,2016-12-23,1,0
Get Busy,7C86DVl6REN8VPeGEMOf9q,Sean Paul,Dutty Rock,2002-11-12,20,1
We Be Burnin' (Recognize It),4kOTDj4SiZPkW1p96WMDNv,Sean Paul,The Trinity,2005-09-26,18,1
Humble And Kind,4Pn0JlCUusD2QHjADuOzuV,Tim McGraw,Damn Country Music,2015-01-01,11,2
Promises,6TL5uq31JarmrpEGTNNyKG,Wiz Khalifa,Blacc Hollywood (Deluxe),2014-08-19,15,0
Baby Blue (feat. Chance the Rapper),7gDwRzJhLs0fFHaGtMDJVM,Action Bronson,Mr. Wonderful,2015-03-23,13,0
Check,1jk9c0gZI0wbn5GvAj7PBV,Young Thug,Barter 6,2015-04-16,13,0
My Shit,5uQOauh47VFt3B2kV9kRXw,A Boogie Wit da Hoodie,Artist,2016-09-16,11,1
So High (feat. Ghost Loft),0odHj0qIf86vHBsXB30IkZ,Wiz Khalifa,Blacc Hollywood (Deluxe),2014-08-19,15,0
Drink In My Hand,1cktZnxiONH0hR6Q3DKy8h,Eric Church,Chief,2011-01-01,11,2
Kill A Word,0ipcmHor30Y8p6hCd8QUVq,Eric Church,Mr. Misunderstood,2015-11-11,10,0
Mr. Misunderstood,79dlQxvdsCDApoM8XChkpy,Eric Church,Mr. Misunderstood,2015-11-11,10,0
Record Year,5fSPbm5lcwtqwXkeQQswW8,Eric Church,Mr. Misunderstood,2015-11-11,10,1
My Way,1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,My Way,2016-09-16,1,1
One,5TvFfDlVoUWZvfqrhTJzD7,Ed Sheeran,x (Deluxe Edition),2014-06-21,16,0
Lay It All On Me (feat. Ed Sheeran),38ismoqQYn75ruDSQ2Jtx8,Rudimental,We The Generation (Deluxe Edition),2015-10-02,18,1
Bloodstream,5v4sZRuvWDcisoOk1PFv6T,Ed Sheeran,x (Deluxe Edition),2014-06-21,16,0
Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,Ed Sheeran,+,2011-09-09,16,1
Small Bump,4z1O25cq9g2kuJemmUxc21,Ed Sheeran,+,2011-09-09,16,0
Boyfriend,0171XsIM2xyeXRr6wsugEI,Justin Bieber,Believe,2012-01-01,13,6
Given Up,1fLlRApgzxWweF1JTf8yM5,Linkin Park,Minutes To Midnight (Explicit Version),2007-05-14,12,0
Crawling,57BrRMwf9LrcmuOsyGilwr,Linkin Park,Hybrid Theory (Bonus Track Version),2000-10-24,15,0
One Less Lonely Girl,69ghzc538EQSVon2Gm3wrr,Justin Bieber,My World,2009-01-01,7,3
Papercut,1Vej0qeQ3ioKwpI6FUbRv1,Linkin Park,Hybrid Theory (Bonus Track Version),2000-10-24,15,0
Water,6HEIBHUirx1J0JkUD24szt,Ugly God,Water,2016-11-18,1,1
Seen It All,0jkeRqlWciqKxU3iHQfdWj,Jeezy,Seen It All: The Autobiography,2014-09-02,12,0
Iridescent,5x2Sk2NUsatM0kIh7boKwP,Linkin Park,A Thousand Suns,2010-09-13,16,0
Faint,2uxL6E8Yq0Psc1V9uBtC4F,Linkin Park,Meteora,2003-03-24,16,1
Heavy (feat. Kiiara),104buTcnP2AsxqB7U1FIZ4,Linkin Park,One More Light,2017-05-19,10,0
Breaking The Habit,4HcDu9IGRCvSTJE4yW5Ugv,Linkin Park,Meteora,2003-03-24,16,0
Thumbs,6WC5fhc9XMaCrUNKNjm9xE,Sabrina Carpenter,EVOLution,2016-10-14,10,0
Controlla,4CpKEkdGbOJV51cSvx7SoG,Drake,Views,2016-05-13,20,3
Too Young,4SYUUlkScpNR1QvPscXf8t,Post Malone,Stoney (Deluxe),2016-12-09,18,1
Party Monster,4F7A0DXBrmUAkp32uenhZt,The Weeknd,Starboy,2016-11-25,18,1
Price Tag,5mvKuE9Lf9ARVXVXA32kK9,Jessie J,Who You Are (Platinum Edition),2011-01-01,16,4
Real Sisters,5GhJq5J9ZWIEDZdyw7EWzt,Future,DS2 (Deluxe),2015-07-17,19,0
Weak,45iMRHmfLZu3yjdZ8P5e3t,AJR,What Everyone's Thinking,2016-09-16,5,1
Bait A Hook,6cAxSUPzHyywECgGSvoLyf,Justin Moore,Outlaws Like Me,2011-01-01,13,1
